person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22.0,male,Associate,30066.0,0,RENT,4500.0,EDUCATION,11.49,0.15,2.0,648,No,0
29.0,female,Bachelor,85142.0,6,RENT,10000.0,HOMEIMPROVEMENT,11.01,0.12,8.0,680,No,0
50.0,male,Bachelor,55772.0,26,MORTGAGE,5000.0,PERSONAL,7.9,0.09,16.0,687,No,0
22.0,female,Associate,74162.0,0,RENT,6000.0,EDUCATION,11.01,0.08,4.0,586,Yes,0
26.0,female,Bachelor,64317.0,5,MORTGAGE,4000.0,MEDICAL,11.89,0.06,4.0,658,No,1
24.0,male,Master,66320.0,5,MORTGAGE,8000.0,PERSONAL,8.63,0.12,4.0,626,No,0
36.0,male,Associate,97114.0,15,MORTGAGE,10000.0,VENTURE,6.62,0.1,14.0,661,Yes,0
36.0,female,Bachelor,90820.0,13,MORTGAGE,10000.0,HOMEIMPROVEMENT,11.75,0.11,12.0,696,Yes,0
23.0,female,Bachelor,85041.0,2,RENT,4800.0,PERSONAL,11.01,0.06,2.0,578,Yes,0
26.0,female,Master,82507.0,4,OWN,24250.0,PERSONAL,12.18,0.29,4.0,702,Yes,0
23.0,male,High School,46827.0,0,OWN,8400.0,VENTURE,13.8,0.18,2.0,685,Yes,0
25.0,male,High School,67076.0,2,RENT,4000.0,EDUCATION,8.57,0.06,3.0,601,Yes,0
32.0,female,High School,53742.0,7,RENT,8000.0,MEDICAL,10.32,0.15,10.0,648,Yes,0
29.0,male,Associate,96857.0,9,MORTGAGE,22000.0,MEDICAL,10.59,0.23,10.0,673,No,0
23.0,male,Bachelor,74246.0,2,MORTGAGE,10000.0,DEBTCONSOLIDATION,7.88,0.13,3.0,583,Yes,0
23.0,female,High School,111677.0,2,RENT,6887.0,VENTURE,12.23,0.06,4.0,577,Yes,0
21.0,male,Bachelor,50084.0,0,OWN,5000.0,PERSONAL,7.74,0.1,3.0,678,Yes,0
26.0,male,Bachelor,37097.0,5,RENT,4000.0,MEDICAL,14.27,0.11,2.0,673,No,1
29.0,male,Bachelor,140223.0,8,MORTGAGE,24962.0,PERSONAL,13.39,0.18,8.0,687,No,1
24.0,female,Associate,114678.0,2,MORTGAGE,10000.0,HOMEIMPROVEMENT,10.65,0.09,4.0,591,Yes,0
31.0,female,Master,96956.0,6,MORTGAGE,10000.0,MEDICAL,11.01,0.1,5.0,603,Yes,0
22.0,female,High School,72547.0,0,MORTGAGE,11200.0,VENTURE,5.79,0.15,4.0,566,No,0
23.0,female,Bachelor,50889.0,2,RENT,7356.0,EDUCATION,12.0,0.14,3.0,593,Yes,0
24.0,female,Associate,84747.0,5,RENT,8000.0,DEBTCONSOLIDATION,12.94,0.09,4.0,588,Yes,0
25.0,male,Master,103093.0,1,RENT,15000.0,VENTURE,8.19,0.15,4.0,652,Yes,0
34.0,male,Bachelor,26505.0,10,RENT,5000.0,HOMEIMPROVEMENT,13.45,0.19,8.0,669,No,1
23.0,female,Bachelor,92495.0,0,MORTGAGE,9000.0,DEBTCONSOLIDATION,11.01,0.1,3.0,634,No,1
34.0,male,Bachelor,87607.0,13,RENT,20000.0,VENTURE,11.89,0.23,10.0,735,No,0
26.0,male,Bachelor,162872.0,7,MORTGAGE,24000.0,DEBTCONSOLIDATION,12.99,0.15,2.0,706,Yes,0
24.0,female,High School,62040.0,1,RENT,9830.0,HOMEIMPROVEMENT,9.57,0.16,3.0,653,Yes,0
21.0,female,Associate,44067.0,0,MORTGAGE,8000.0,DEBTCONSOLIDATION,9.32,0.18,3.0,583,No,0
22.0,male,Master,15498.0,1,RENT,6000.0,DEBTCONSOLIDATION,8.88,0.39,4.0,708,No,1
43.0,female,High School,67140.0,16,MORTGAGE,11750.0,DEBTCONSOLIDATION,10.99,0.18,17.0,676,Yes,0
23.0,female,High School,49187.0,2,OTHER,10000.0,EDUCATION,12.72,0.2,2.0,583,No,0
24.0,male,Bachelor,68051.0,0,RENT,15000.0,DEBTCONSOLIDATION,12.87,0.22,2.0,594,Yes,0
24.0,male,Bachelor,136827.0,0,RENT,10191.0,PERSONAL,10.09,0.07,3.0,615,No,1
28.0,male,Associate,25086.0,3,OWN,10000.0,MEDICAL,11.01,0.4,7.0,623,No,1
22.0,female,Associate,102456.0,0,MORTGAGE,12000.0,VENTURE,6.91,0.12,3.0,648,Yes,0
25.0,male,Bachelor,68111.0,1,MORTGAGE,3500.0,MEDICAL,14.17,0.05,3.0,692,Yes,0
22.0,female,Associate,43178.0,1,RENT,6000.0,EDUCATION,11.01,0.14,2.0,658,Yes,0
29.0,female,Bachelor,55272.0,6,RENT,10000.0,MEDICAL,11.01,0.18,5.0,662,No,0
30.0,male,Bachelor,129544.0,8,MORTGAGE,2500.0,DEBTCONSOLIDATION,10.78,0.02,6.0,669,No,0
30.0,female,Associate,108001.0,8,RENT,28869.0,DEBTCONSOLIDATION,7.97,0.27,7.0,602,No,1
24.0,male,Associate,116992.0,0,MORTGAGE,14000.0,EDUCATION,17.19,0.12,4.0,655,Yes,0
25.0,male,Master,136746.0,6,MORTGAGE,25000.0,PERSONAL,11.61,0.18,6.0,658,No,0
25.0,female,Associate,48777.0,2,MORTGAGE,4500.0,PERSONAL,10.99,0.09,3.0,556,Yes,0
23.0,male,Bachelor,60867.0,0,RENT,6000.0,MEDICAL,11.86,0.1,3.0,600,Yes,0
30.0,female,Associate,72969.0,6,RENT,8000.0,HOMEIMPROVEMENT,7.66,0.11,6.0,615,No,0
25.0,female,High School,116369.0,4,OWN,4000.0,EDUCATION,9.88,0.03,3.0,521,Yes,0
38.0,female,Associate,157075.0,15,MORTGAGE,11000.0,DEBTCONSOLIDATION,10.74,0.07,11.0,654,No,0
24.0,male,High School,60838.0,5,RENT,8000.0,EDUCATION,7.96,0.13,4.0,560,Yes,0
25.0,male,Bachelor,85053.0,3,RENT,12000.0,VENTURE,8.9,0.14,2.0,616,Yes,0
26.0,female,Doctorate,141216.0,2,MORTGAGE,6000.0,HOMEIMPROVEMENT,7.51,0.04,4.0,576,No,0
21.0,male,High School,60925.0,0,RENT,12000.0,PERSONAL,11.71,0.2,3.0,530,Yes,0
22.0,female,Bachelor,65835.0,2,RENT,3200.0,HOMEIMPROVEMENT,16.49,0.05,4.0,680,No,1
23.0,female,Bachelor,152485.0,0,MORTGAGE,3212.0,EDUCATION,14.78,0.02,3.0,682,No,0
23.0,female,High School,39925.0,1,RENT,12300.0,EDUCATION,11.01,0.31,3.0,537,No,1
25.0,female,Bachelor,52926.0,2,RENT,3000.0,PERSONAL,13.8,0.06,3.0,725,Yes,0
29.0,male,Bachelor,54863.0,5,RENT,7500.0,EDUCATION,11.01,0.14,5.0,652,Yes,0
24.0,male,Master,71342.0,5,RENT,6300.0,MEDICAL,14.91,0.09,2.0,658,No,1
25.0,female,Associate,47763.0,6,RENT,16000.0,VENTURE,16.38,0.33,3.0,629,No,1
22.0,female,High School,38089.0,0,MORTGAGE,1050.0,DEBTCONSOLIDATION,7.51,0.03,4.0,581,No,1
37.0,female,High School,143942.0,16,MORTGAGE,5169.0,PERSONAL,10.91,0.04,10.0,617,Yes,0
22.0,male,High School,43363.0,0,RENT,4992.0,MEDICAL,11.0,0.12,3.0,527,Yes,0
41.0,male,High School,167170.0,17,MORTGAGE,23000.0,MEDICAL,14.96,0.14,12.0,573,No,1
22.0,male,Associate,68235.0,1,MORTGAGE,25000.0,PERSONAL,16.4,0.37,3.0,632,No,1
26.0,female,Master,91227.0,6,MORTGAGE,9600.0,EDUCATION,5.42,0.11,3.0,644,Yes,0
22.0,male,High School,36844.0,0,RENT,5000.0,HOMEIMPROVEMENT,8.88,0.14,3.0,614,No,1
32.0,male,Associate,15301.0,9,RENT,6075.0,DEBTCONSOLIDATION,12.42,0.4,8.0,661,No,1
36.0,male,Associate,39086.0,13,OWN,3600.0,EDUCATION,13.49,0.09,11.0,621,Yes,0
23.0,male,High School,24983.0,3,RENT,1500.0,DEBTCONSOLIDATION,9.62,0.06,3.0,670,Yes,0
23.0,female,Associate,55019.0,0,MORTGAGE,9925.0,EDUCATION,11.48,0.18,2.0,592,Yes,0
25.0,male,Bachelor,68700.0,5,RENT,3838.0,DEBTCONSOLIDATION,15.03,0.06,3.0,643,No,1
27.0,female,High School,54879.0,5,RENT,18000.0,PERSONAL,13.16,0.33,7.0,611,No,1
29.0,male,Bachelor,74965.0,9,MORTGAGE,10000.0,PERSONAL,12.41,0.13,9.0,576,Yes,0
28.0,female,High School,78570.0,6,MORTGAGE,1454.0,PERSONAL,9.73,0.02,6.0,636,No,0
31.0,female,High School,36929.0,8,RENT,7200.0,VENTURE,11.48,0.19,6.0,588,Yes,0
25.0,male,High School,211017.0,5,MORTGAGE,10000.0,HOMEIMPROVEMENT,15.05,0.05,4.0,631,Yes,0
21.0,male,High School,31253.0,0,RENT,6000.0,EDUCATION,7.49,0.19,3.0,450,Yes,0
29.0,female,High School,15532.0,8,RENT,4500.0,EDUCATION,15.05,0.29,9.0,619,No,1
41.0,female,High School,46963.0,20,RENT,8875.0,MEDICAL,19.03,0.19,11.0,698,Yes,0
32.0,female,High School,186782.0,11,MORTGAGE,8000.0,MEDICAL,11.01,0.04,6.0,683,No,0
33.0,male,Associate,35824.0,13,RENT,10000.0,VENTURE,13.06,0.28,9.0,657,No,1
24.0,male,Bachelor,115945.0,2,RENT,17400.0,DEBTCONSOLIDATION,10.37,0.15,2.0,619,Yes,0
29.0,male,Associate,36799.0,6,RENT,2000.0,DEBTCONSOLIDATION,10.75,0.05,7.0,608,No,0
26.0,male,High School,61280.0,4,OWN,12000.0,MEDICAL,8.49,0.2,4.0,654,Yes,0
31.0,female,Master,66823.0,11,RENT,10000.0,DEBTCONSOLIDATION,8.56,0.15,10.0,623,Yes,0
23.0,male,Associate,48159.0,0,RENT,6000.0,DEBTCONSOLIDATION,15.99,0.12,3.0,592,No,1
26.0,female,High School,115019.0,3,MORTGAGE,14000.0,DEBTCONSOLIDATION,6.03,0.12,4.0,677,Yes,0
21.0,male,High School,45480.0,0,RENT,7500.0,HOMEIMPROVEMENT,14.84,0.16,2.0,658,No,1
26.0,female,Associate,51672.0,2,RENT,3500.0,EDUCATION,12.61,0.07,4.0,596,Yes,0
22.0,male,Bachelor,42450.0,1,RENT,7500.0,DEBTCONSOLIDATION,15.05,0.18,2.0,682,No,1
25.0,female,Bachelor,72982.0,5,MORTGAGE,13000.0,MEDICAL,14.17,0.18,3.0,691,No,0
33.0,male,High School,53709.0,13,MORTGAGE,4500.0,DEBTCONSOLIDATION,14.74,0.08,10.0,644,No,1
42.0,male,Associate,39683.0,20,RENT,10000.0,VENTURE,10.38,0.25,15.0,690,No,1
23.0,male,Associate,53026.0,0,RENT,10450.0,PERSONAL,13.57,0.2,3.0,618,No,0
28.0,female,High School,120915.0,7,RENT,18000.0,MEDICAL,13.91,0.15,9.0,501,Yes,0
25.0,female,Master,24152.0,6,RENT,4000.0,DEBTCONSOLIDATION,11.01,0.17,3.0,649,No,1
25.0,male,Associate,29861.0,0,RENT,9600.0,PERSONAL,11.71,0.32,3.0,598,No,1
35.0,male,Bachelor,31112.0,14,RENT,8000.0,MEDICAL,7.51,0.26,7.0,705,No,1
29.0,male,Bachelor,82779.0,5,RENT,10000.0,EDUCATION,10.65,0.12,5.0,629,Yes,0
23.0,male,Bachelor,30059.0,0,MORTGAGE,1375.0,MEDICAL,11.11,0.05,4.0,506,No,1
26.0,male,Master,53841.0,4,RENT,4500.0,MEDICAL,7.74,0.08,3.0,704,Yes,0
28.0,male,Master,67349.0,5,MORTGAGE,3000.0,VENTURE,11.72,0.04,10.0,610,Yes,0
21.0,female,Master,72792.0,0,RENT,8000.0,EDUCATION,11.26,0.11,3.0,687,No,0
21.0,female,Associate,26844.0,0,RENT,3500.0,DEBTCONSOLIDATION,7.51,0.13,2.0,627,Yes,0
23.0,male,Associate,36757.0,0,MORTGAGE,8000.0,HOMEIMPROVEMENT,5.78,0.22,4.0,576,Yes,0
27.0,female,High School,83707.0,3,RENT,2500.0,VENTURE,7.14,0.03,8.0,613,Yes,0
28.0,female,Master,70058.0,4,MORTGAGE,23000.0,EDUCATION,11.01,0.33,7.0,501,Yes,0
25.0,male,Bachelor,42203.0,6,MORTGAGE,2000.0,DEBTCONSOLIDATION,7.66,0.05,4.0,614,No,1
24.0,female,High School,73202.0,1,RENT,20000.0,PERSONAL,11.14,0.27,2.0,536,No,1
41.0,male,Associate,71026.0,21,RENT,7150.0,PERSONAL,15.99,0.1,16.0,701,No,1
24.0,male,High School,35392.0,1,MORTGAGE,6000.0,MEDICAL,9.99,0.17,3.0,604,Yes,0
34.0,female,Bachelor,110760.0,12,RENT,12000.0,MEDICAL,6.92,0.11,7.0,658,Yes,0
28.0,male,Associate,95281.0,8,OWN,14000.0,VENTURE,11.36,0.15,10.0,582,Yes,0
28.0,male,High School,124432.0,7,MORTGAGE,10000.0,VENTURE,8.5,0.08,10.0,645,Yes,0
29.0,female,Master,123553.0,9,MORTGAGE,6000.0,MEDICAL,7.88,0.05,9.0,664,Yes,0
26.0,male,Associate,66453.0,6,MORTGAGE,10000.0,HOMEIMPROVEMENT,8.94,0.15,3.0,692,Yes,0
32.0,male,Master,91097.0,8,MORTGAGE,10000.0,EDUCATION,11.89,0.11,5.0,646,No,0
21.0,male,Associate,51308.0,1,MORTGAGE,2500.0,DEBTCONSOLIDATION,7.29,0.05,4.0,681,Yes,0
28.0,female,Bachelor,84907.0,6,MORTGAGE,5600.0,VENTURE,6.62,0.07,5.0,717,Yes,0
41.0,male,High School,61078.0,17,RENT,6000.0,PERSONAL,8.88,0.1,17.0,675,Yes,0
24.0,male,Associate,72749.0,2,RENT,6500.0,DEBTCONSOLIDATION,7.84,0.09,3.0,648,No,0
24.0,male,Master,102820.0,0,MORTGAGE,12000.0,HOMEIMPROVEMENT,11.14,0.12,3.0,631,Yes,0
26.0,male,High School,98598.0,1,RENT,8371.0,PERSONAL,9.57,0.08,6.0,656,Yes,0
27.0,male,Bachelor,124222.0,7,RENT,1901.0,HOMEIMPROVEMENT,9.15,0.02,8.0,602,No,0
33.0,female,Master,53666.0,11,RENT,8000.0,VENTURE,17.49,0.15,8.0,692,No,0
26.0,female,Associate,67056.0,5,MORTGAGE,10500.0,DEBTCONSOLIDATION,5.79,0.16,2.0,689,Yes,0
37.0,male,Bachelor,55094.0,10,RENT,6000.0,EDUCATION,12.61,0.11,17.0,694,Yes,0
25.0,female,Associate,67298.0,5,MORTGAGE,8000.0,EDUCATION,9.24,0.12,5.0,624,Yes,0
21.0,female,High School,30896.0,0,MORTGAGE,2800.0,VENTURE,11.01,0.09,3.0,687,Yes,0
23.0,female,Associate,91179.0,1,RENT,6000.0,PERSONAL,6.03,0.07,4.0,692,Yes,0
23.0,female,Master,31126.0,0,RENT,1800.0,MEDICAL,12.69,0.06,3.0,571,No,1
44.0,female,High School,142342.0,21,RENT,2500.0,MEDICAL,7.29,0.02,11.0,657,No,1
25.0,female,Bachelor,40884.0,2,RENT,5500.0,MEDICAL,11.01,0.13,4.0,683,Yes,0
32.0,male,Master,35391.0,10,RENT,14500.0,PERSONAL,16.7,0.41,10.0,669,No,1
29.0,female,Bachelor,55039.0,3,MORTGAGE,9227.0,MEDICAL,10.12,0.17,5.0,631,Yes,0
28.0,male,High School,60116.0,4,RENT,3600.0,VENTURE,13.98,0.06,9.0,553,No,1
26.0,male,Bachelor,143449.0,2,MORTGAGE,15000.0,VENTURE,14.42,0.1,2.0,610,Yes,0
24.0,female,High School,79106.0,1,RENT,9600.0,PERSONAL,12.91,0.12,4.0,656,Yes,0
25.0,male,High School,213645.0,3,MORTGAGE,24000.0,VENTURE,11.11,0.11,4.0,591,Yes,0
22.0,female,Associate,51566.0,0,MORTGAGE,5000.0,MEDICAL,8.94,0.1,2.0,658,Yes,0
26.0,male,Associate,55033.0,6,MORTGAGE,14125.0,HOMEIMPROVEMENT,13.99,0.26,2.0,586,Yes,0
24.0,male,Associate,79211.0,4,MORTGAGE,5000.0,PERSONAL,8.59,0.06,2.0,720,Yes,0
48.0,male,Associate,84772.0,28,MORTGAGE,21600.0,HOMEIMPROVEMENT,7.51,0.25,11.0,664,Yes,0
42.0,male,High School,118105.0,15,RENT,7000.0,EDUCATION,8.9,0.06,13.0,658,Yes,0
29.0,female,Bachelor,192804.0,8,MORTGAGE,10000.0,HOMEIMPROVEMENT,12.05,0.05,8.0,635,No,0
23.0,female,Associate,49688.0,1,RENT,5500.0,EDUCATION,12.73,0.11,4.0,589,No,0
22.0,female,Bachelor,46631.0,0,RENT,12000.0,EDUCATION,10.75,0.26,3.0,661,No,1
25.0,male,Bachelor,58297.0,2,MORTGAGE,7800.0,HOMEIMPROVEMENT,8.94,0.13,2.0,660,Yes,0
30.0,female,Master,64194.0,5,RENT,2200.0,MEDICAL,10.99,0.03,8.0,577,Yes,0
37.0,female,Bachelor,107963.0,14,MORTGAGE,5000.0,EDUCATION,6.91,0.05,15.0,577,Yes,0
24.0,female,Associate,57403.0,2,OWN,6000.0,PERSONAL,11.11,0.1,4.0,653,Yes,0
25.0,male,Associate,132964.0,0,MORTGAGE,20000.0,PERSONAL,7.88,0.15,2.0,611,Yes,0
24.0,male,Bachelor,90889.0,1,RENT,24000.0,MEDICAL,10.37,0.26,3.0,643,No,1
23.0,male,Master,102800.0,5,MORTGAGE,20000.0,EDUCATION,11.01,0.19,4.0,656,Yes,0
37.0,male,High School,114881.0,16,RENT,7500.0,DEBTCONSOLIDATION,7.51,0.07,16.0,670,Yes,0
32.0,female,High School,58476.0,10,MORTGAGE,10650.0,DEBTCONSOLIDATION,10.59,0.18,9.0,582,Yes,0
25.0,male,Associate,69945.0,5,MORTGAGE,9000.0,HOMEIMPROVEMENT,11.01,0.13,3.0,647,No,0
33.0,male,High School,162851.0,10,MORTGAGE,15000.0,EDUCATION,13.61,0.09,9.0,633,Yes,0
35.0,female,Associate,60939.0,14,RENT,17500.0,PERSONAL,12.84,0.29,5.0,700,No,1
26.0,male,Associate,92765.0,7,MORTGAGE,24000.0,EDUCATION,12.73,0.26,3.0,593,Yes,0
30.0,female,High School,61022.0,8,RENT,6533.0,VENTURE,10.43,0.11,5.0,629,Yes,0
24.0,female,Master,64478.0,0,RENT,3000.0,MEDICAL,12.99,0.05,3.0,639,Yes,0
22.0,male,Associate,27385.0,3,MORTGAGE,7200.0,PERSONAL,7.14,0.26,2.0,636,No,0
26.0,female,Bachelor,47721.0,1,RENT,15000.0,MEDICAL,15.37,0.31,2.0,680,No,1
24.0,male,High School,26110.0,0,RENT,1800.0,MEDICAL,10.65,0.07,2.0,674,No,0
27.0,female,Associate,113110.0,3,MORTGAGE,12000.0,VENTURE,8.29,0.11,7.0,555,Yes,0
23.0,male,Associate,84629.0,0,MORTGAGE,3477.0,EDUCATION,6.08,0.04,4.0,638,No,0
26.0,female,High School,84862.0,4,MORTGAGE,10000.0,HOMEIMPROVEMENT,11.01,0.12,4.0,646,Yes,0
30.0,female,Master,55162.0,7,RENT,6000.0,PERSONAL,12.69,0.11,8.0,702,No,0
29.0,male,High School,265757.0,9,MORTGAGE,9694.0,DEBTCONSOLIDATION,11.79,0.04,4.0,583,Yes,0
25.0,female,High School,71415.0,0,RENT,8000.0,PERSONAL,12.0,0.11,4.0,603,Yes,0
25.0,male,High School,70489.0,1,MORTGAGE,9000.0,EDUCATION,7.88,0.13,5.0,566,Yes,0
25.0,male,Bachelor,52166.0,5,RENT,7128.0,EDUCATION,12.04,0.14,5.0,699,No,0
28.0,female,Associate,42914.0,4,RENT,10000.0,MEDICAL,14.61,0.23,7.0,618,No,0
22.0,male,Associate,66816.0,0,RENT,5000.0,EDUCATION,6.91,0.07,2.0,657,No,0
37.0,female,High School,71667.0,15,MORTGAGE,9000.0,HOMEIMPROVEMENT,10.25,0.13,13.0,678,Yes,0
23.0,male,Bachelor,91008.0,0,RENT,5000.0,EDUCATION,6.33,0.05,3.0,620,Yes,0
37.0,female,Bachelor,157076.0,17,RENT,13000.0,PERSONAL,9.88,0.08,16.0,654,Yes,0
25.0,male,High School,67267.0,0,RENT,10800.0,VENTURE,13.57,0.16,2.0,581,Yes,0
25.0,male,High School,53535.0,6,RENT,2400.0,MEDICAL,7.66,0.04,4.0,553,No,0
31.0,male,High School,122149.0,10,RENT,7500.0,EDUCATION,13.22,0.06,5.0,690,No,0
22.0,female,Master,49139.0,0,RENT,6000.0,VENTURE,7.66,0.12,2.0,549,Yes,0
26.0,male,Associate,37199.0,6,RENT,7500.0,PERSONAL,12.18,0.2,3.0,650,No,1
27.0,male,High School,78865.0,1,MORTGAGE,18000.0,PERSONAL,7.51,0.23,5.0,600,No,0
25.0,male,Bachelor,85060.0,5,RENT,12000.0,EDUCATION,13.55,0.14,3.0,670,No,0
31.0,male,Bachelor,35815.0,8,RENT,15075.0,HOMEIMPROVEMENT,11.01,0.42,7.0,517,No,1
24.0,male,Bachelor,193091.0,0,MORTGAGE,12000.0,DEBTCONSOLIDATION,5.65,0.06,5.0,617,Yes,0
25.0,female,High School,47873.0,4,RENT,16000.0,VENTURE,14.9,0.33,3.0,580,No,1
22.0,female,High School,41984.0,2,RENT,2500.0,HOMEIMPROVEMENT,13.57,0.06,3.0,532,No,1
